unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount,index
1.62E+12,5/28/2021 0:00,BTC/USDT,38529.99,38877.83,34684,35663.49,135377.6297,4926260942,2659178,1382
1.62E+12,5/27/2021 0:00,BTC/USDT,39241.92,40411.14,37134.27,38529.98,86547.15879,3361413526,2102182,1381
1.62E+12,5/26/2021 0:00,BTC/USDT,38324.72,40841,37800.44,39241.91,104780.7734,4113717505,2432319,1380
1.62E+12,5/25/2021 0:00,BTC/USDT,38810.99,39791.77,36419.62,38324.72,111996.2284,4253519579,2508310,1379
1.62E+12,5/24/2021 0:00,BTC/USDT,34681.44,39920,34031,38796.29,161630.894,5996773032,3510578,1378
1.62E+12,5/23/2021 0:00,BTC/USDT,37458.51,38270.64,31111.01,34655.25,217136.0466,7431242463,4082004,1377
1.62E+12,5/22/2021 0:00,BTC/USDT,37263.35,38829,35200.62,37449.73,126542.2437,4730567648,2716691,1376
1.62E+12,5/21/2021 0:00,BTC/USDT,40525.39,42200,33488,37252.01,202100.8883,7713346610,3993336,1375
1.62E+12,5/20/2021 0:00,BTC/USDT,36671.23,42451.67,34850,40526.64,203017.5969,8019897067,4269898,1374
1.62E+12,5/19/2021 0:00,BTC/USDT,42849.78,43584.9,30000,36690.09,354347.2432,13477694935,6331062,1373
1.62E+12,5/18/2021 0:00,BTC/USDT,43538.02,45799.29,42250.02,42849.78,116979.8608,5146670283,2561165,1372
1.62E+12,5/17/2021 0:00,BTC/USDT,46426.83,46686,42001,43538.04,166657.1727,7346755532,3216821,1371
1.62E+12,5/16/2021 0:00,BTC/USDT,46762.99,49795.89,43825.39,46431.5,114269.8128,5367497608,2661295,1370
1.62E+12,5/15/2021 0:00,BTC/USDT,49844.16,50700,46555,46762.99,89437.44936,4350775847,2286791,1369
1.62E+12,5/14/2021 0:00,BTC/USDT,49671.92,51483,48799.75,49841.45,80082.20431,4015904915,2095860,1368
1.62E+12,5/13/2021 0:00,BTC/USDT,49537.15,51367.19,46000,49670.97,147332.0021,7303694689,3570506,1367
1.62E+12,5/12/2021 0:00,BTC/USDT,56670.02,58000.01,48600,49631.32,99842.78984,5476115093,2676826,1366
1.62E+12,5/11/2021 0:00,BTC/USDT,55816.14,56862.43,54370,56670.02,64329.54055,3583030655,1911480,1365
1.62E+12,5/10/2021 0:00,BTC/USDT,58240.83,59500,53400,55816.14,89586.34925,5131782640,2575419,1364
1.62E+12,5/9/2021 0:00,BTC/USDT,58866.53,59300,56235.66,58240.84,69806.11991,4043552702,2170139,1363
1.62E+12,5/8/2021 0:00,BTC/USDT,57315.49,59500,56900,58862.05,69709.90603,4079553832,2311378,1362
1.62E+12,5/7/2021 0:00,BTC/USDT,56393.68,58650,55241.63,57314.75,74542.74783,4239374487,2361692,1361
1.62E+12,5/6/2021 0:00,BTC/USDT,57436.11,58360,55200,56393.68,70181.67191,3992289528,2459881,1360
1.62E+12,5/5/2021 0:00,BTC/USDT,53205.05,58069.82,52900,57436.11,77263.92344,4327994296,2378119,1359
1.62E+12,5/4/2021 0:00,BTC/USDT,57169.39,57200,53046.69,53200.01,85324.6259,4705402064,2492629,1358
1.62E+12,5/3/2021 0:00,BTC/USDT,56578.21,58981.44,56435,57169.39,57649.93129,3337604543,2102128,1357
1.62E+12,5/2/2021 0:00,BTC/USDT,57797.35,57911.02,56035.25,56578.21,36812.87886,2089763230,1371638,1356
1.62E+12,5/1/2021 0:00,BTC/USDT,57697.25,58458.07,56956.14,57800.37,42600.35184,2460342955,1743013,1355
1.62E+12,4/30/2021 0:00,BTC/USDT,53555,57963,53013.01,57694.27,68578.91005,3808187373,2267648,1354
1.62E+12,4/29/2021 0:00,BTC/USDT,54846.23,55195.84,52330.94,53555,52486.01946,2823220335,1763676,1353
1.62E+12,4/28/2021 0:00,BTC/USDT,55011.97,56428,53813.16,54846.22,55130.45902,3020242788,1830042,1352
1.62E+12,4/27/2021 0:00,BTC/USDT,54001.38,55460,53222,55011.97,54064.03468,2949719328,1568666,1351
1.62E+12,4/26/2021 0:00,BTC/USDT,49066.76,54356.62,48753.44,54001.39,86310.80212,4555688503,2174544,1350
1.62E+12,4/25/2021 0:00,BTC/USDT,50047.84,50567.91,46930,49066.77,58255.645,2867858315,1475479,1349
1.62E+12,4/24/2021 0:00,BTC/USDT,51110.56,51166.22,48657.14,50047.84,55361.51257,2762081003,1164985,1348
1.62E+12,4/23/2021 0:00,BTC/USDT,51690.95,52131.85,47500,51125.14,132230.7807,6571097317,2888237,1347
1.62E+12,4/22/2021 0:00,BTC/USDT,53787.62,55521.48,50500,51690.96,104656.6313,5594983857,2744621,1346
1.62E+12,4/21/2021 0:00,BTC/USDT,56425,56757.91,53536.02,53787.63,66984.75691,3704549579,2134946,1345
